date,ticker,broker_code,net_value
2026-04-28,ACES,AK,2982492200.0
2026-04-28,ACES,YP,1373417200.0
2026-04-28,ACES,CP,939050600.0
2026-04-28,ACES,KK,697510200.0
2026-04-28,ACES,BK,448303200.0
2026-04-28,ACES,FS,98250000.0
2026-04-28,ACES,TP,59644000.0
2026-04-28,ACES,LS,36800000.0
2026-04-28,ACES,AG,29478600.0
2026-04-28,ACES,XA,26895400.0
2026-04-28,ACES,AI,24474000.0
2026-04-28,ACES,BQ,22709000.0
2026-04-28,ACES,ZP,6553200.0
2026-04-28,ACES,HD,147200.0
2026-04-28,ACES,YU,-436008600.0
2026-04-28,ACES,DR,-10427800.0
2026-04-28,ACES,GI,-36800.0
2026-04-28,ADRO,BK,45201261000.0
2026-04-28,ADRO,YP,5022734000.0
2026-04-28,ADRO,TP,4060894000.0
2026-04-28,ADRO,DR,2175859000.0
2026-04-28,ADRO,AG,17838000.0
2026-04-28,ADRO,DU,6027000.0
2026-04-28,ADRO,FS,4106000.0
2026-04-28,ADRO,GI,1210000.0
2026-04-28,ADRO,RB,969000.0
2026-04-28,ADRO,AK,-20247923000.0
2026-04-28,ADRO,ZP,-16490756000.0
2026-04-28,ADRO,KK,-3267730000.0
2026-04-28,ADRO,BQ,-3196039000.0
2026-04-28,ADRO,XA,-1432015000.0
2026-04-28,ADRO,LS,-1211859000.0
2026-04-28,ADRO,CP,-839612000.0
2026-04-28,ADRO,KZ,-784154000.0
2026-04-28,ADRO,YU,-264451000.0
2026-04-28,ADRO,AI,-127464000.0
2026-04-28,ADRO,HD,-24300000.0
2026-04-28,AKRA,KK,267143000.0
2026-04-28,AKRA,TP,182949500.0
2026-04-28,AKRA,LS,75658000.0
2026-04-28,AKRA,HD,72630000.0
2026-04-28,AKRA,YP,22945000.0
2026-04-28,AKRA,XA,9361500.0
2026-04-28,AKRA,AI,9340000.0
2026-04-28,AKRA,DR,3544000.0
2026-04-28,AKRA,FS,3060000.0
2026-04-28,AKRA,BK,-2741215000.0
2026-04-28,AKRA,AK,-1155805000.0
2026-04-28,AKRA,ZP,-704767000.0
2026-04-28,AKRA,KZ,-212160000.0
2026-04-28,AKRA,CP,-31881500.0
2026-04-28,AKRA,BQ,-29812000.0
2026-04-28,AKRA,AG,-15710000.0
2026-04-28,AKRA,YU,-10968500.0
2026-04-28,AMMN,YP,4340750000.0
2026-04-28,AMMN,AG,2779247500.0
2026-04-28,AMMN,CP,2472467500.0
2026-04-28,AMMN,BQ,1079462500.0
2026-04-28,AMMN,KK,824002500.0
2026-04-28,AMMN,DR,502920000.0
2026-04-28,AMMN,TP,233295000.0
2026-04-28,AMMN,AI,161762500.0
2026-04-28,AMMN,XA,131705000.0
2026-04-28,AMMN,FS,57437500.0
2026-04-28,AMMN,LS,3667500.0
2026-04-28,AMMN,RB,527500.0
2026-04-28,AMMN,ZP,-16376175000.0
2026-04-28,AMMN,YU,-5480310000.0
2026-04-28,AMMN,AK,-3729507500.0
2026-04-28,AMMN,RX,-3575982500.0
2026-04-28,AMMN,BK,-2976407500.0
2026-04-28,AMMN,KZ,-504387500.0
2026-04-28,AMMN,HD,-36500000.0
2026-04-28,AMRT,KK,3930595500.0
2026-04-28,AMRT,YP,3360071500.0
2026-04-28,AMRT,DR,2079160500.0
2026-04-28,AMRT,KZ,1703095500.0
2026-04-28,AMRT,BQ,1419916500.0
2026-04-28,AMRT,CP,387631500.0
2026-04-28,AMRT,TP,346106000.0
2026-04-28,AMRT,XA,104599000.0
2026-04-28,AMRT,AI,79099500.0
2026-04-28,AMRT,AG,3584500.0
2026-04-28,AMRT,FS,2465000.0
2026-04-28,AMRT,RB,1370000.0
2026-04-28,AMRT,ZP,-6413428500.0
2026-04-28,AMRT,AK,-3716262000.0
2026-04-28,AMRT,BK,-973789000.0
2026-04-28,AMRT,RX,-897075000.0
2026-04-28,AMRT,YU,-277425500.0
2026-04-28,AMRT,HD,-38793000.0
2026-04-28,ANTM,DR,15964274000.0
2026-04-28,ANTM,RX,15738600000.0
2026-04-28,ANTM,YP,15097247000.0
2026-04-28,ANTM,KK,11071232000.0
2026-04-28,ANTM,AI,8723153000.0
2026-04-28,ANTM,FS,1546627000.0
2026-04-28,ANTM,BQ,1124746000.0
2026-04-28,ANTM,HD,812822000.0
2026-04-28,ANTM,LS,694413000.0
2026-04-28,ANTM,AG,59563000.0
2026-04-28,ANTM,AH,37400000.0
2026-04-28,ANTM,RB,811000.0
